name,type,description,latitude,longitude,imgPath,phone,website,openingHour,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount,Tourism,Adventure,Meditation,Art,Cultural,Landscape,Nature,Historical,Cityscape,Beach,Mountain,Architecture,Temple,WalkingStreet,Market,Village,NationalPark,Diving,Snuggle,Waterfall,Island,Shopping,Camping,Fog,Cycling,Monument,Zoo,Waterpark,Hiking,Museum,Riverside,NightLife,Family,Kid,Landmark,Forest
Franky Monster Phuket,"['การแสดง', 'คาบาเรต์', 'ละครเวทีพร้อมอาหารค่ำ']",,7.885833,98.29528,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f4/5a/8b/photo5jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f4/5a/8e/photo8jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f4/5a/8d/photo7jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f4/5a/8c/photo6jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f4/5a/8b/photo5jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f4/5a/8a/photo4jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f4/5a/89/photo3jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f4/5a/88/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f4/5a/87/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f4/5a/86/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/cd/55/41/very-nice-place-to-visit.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/cd/55/3f/very-nice-place-to-visit.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/cd/55/3b/very-nice-place-to-visit.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/cd/55/36/very-nice-place-to-visit.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/cd/55/33/very-nice-place-to-visit.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297930-d17839193-Reviews-Franky_Monster_Phuket-Patong_Kathu_Phuket.html,"{'จันทร์': 'ปิด', 'อังคาร': 'ปิด', 'พุธ': '18:00-23:00', 'พฤหัสบดี': '18:00-23:00', 'ศุกร์': '18:00-23:00', 'เสาร์': '18:00-23:00', 'อาทิตย์': 'ปิด'}",V7PW+84J ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemonade Club,"['ฟิตเนส/สโมสรสุขภาพและห้องออกกำลังกาย', 'โยคะและพีลาทิส']",,7.992191,98.30749,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/2b/6c/fe/miso-salmon-soup-and.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/01/76/73/sliders.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/01/76/68/swimming-pool.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f3/0e/01/20200220-150317-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f3/0e/00/20200220-143138-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f3/0d/ff/20200220-142306-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f3/0d/fe/20200220-142257-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/9b/d4/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/cd/77/d1/photo4jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/cd/77/d0/photo3jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/cd/77/cf/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/cd/77/ce/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/cd/77/cd/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/2b/6c/ee/portobello-burger.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/01/76/8a/entertainment-team-for.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1224250-d13965506-Reviews-Lemonade_Club-Choeng_Thale_Thalang_District_Phuket.html,"{'จันทร์': '10:00-20:00', 'อังคาร': '10:00-20:00', 'พุธ': '10:00-20:00', 'พฤหัสบดี': '10:00-20:00', 'ศุกร์': '10:00-20:00', 'เสาร์': '10:00-20:00', 'อาทิตย์': '10:00-20:00'}",X8R4+VXH ตำบลเชิงทะเล อำเภอถลาง ภูเก็ต,ภูเก็ต,ถลาง,,83,8303,0,4.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phuket Taxi Ladies Driver,['การท่องเที่ยวโดยเรือเร็ว'],,7.895268,98.30238,[''],,https://th.tripadvisor.com/Attraction_Review-g297930-d27739195-Reviews-Phuket_Taxi_Ladies_Driver-Patong_Kathu_Phuket.html,{},V8W2+4X2 ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ราไวย์ ปาร์ค,['สนามเด็กเล่น'],"สนามเด็กเล่นแห่งใหม่ในภูเก็ต กับพื้นวิ่งเล่นที่กว้างขวาง, สนามเด็กเล่นกลางเเจ้ง, สระว่ายน้ำที่ออกแบบมาเฉพาะสำหรับเด็ก, ร้านอาหารสำหรับครอบครัว, สวนหย่อม ซึ่งราไวย์ปาร์คเป็นสถานที่แนะนำสำหรับทุกคนในครอบครัว ตั้งอยู่ทางใต้สุดของ ภูเก็ต เหมาะสำหรับเด็กอายุ 1-6 ปี",7.775652,98.32219,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/54/be/c1/kids-safe-water-area.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/fe/3c/dd/park-territory.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/fe/3c/d4/park-territory.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/fe/3c/c1/park-territory.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/fe/3c/af/outdoor-playground.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/fe/3c/a7/part-territory.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/fe/3c/98/park-territory.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/fe/3c/8c/indoor-playground.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/fe/3c/83/outdoor-playground.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/fe/3c/6f/indoor-playground.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/0f/a8/33/little-farm.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/df/ea/07/stage.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/df/ea/04/stage.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/df/ea/01/territory.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/df/e9/f7/territory.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297934-d12033649-Reviews-Rawai_Park-Rawai_Phuket.html,"{'จันทร์': '10:00-18:00', 'อังคาร': '10:00-18:00', 'พุธ': '10:00-18:00', 'พฤหัสบดี': '10:00-18:00', 'ศุกร์': '10:00-18:00', 'เสาร์': '09:00-19:00', 'อาทิตย์': '10:00-18:00'}",Q8GC+7V8 ตำบล ราไวย์ อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,3.5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nui Beach Limited,['ชายหาด'],,13.104055,100.91581,[''],,https://th.tripadvisor.com/Attraction_Review-g293920-d23317045-Reviews-Nui_Beach_Limited-Phuket.html,{},,,,,0,0,0,5.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
บริษัท วโททอนรีวอร์ดส (ประเทศไทย) จำกัด,"['คลับและบาร์เพลงแจ๊ส', 'บาร์ซิการ์']",Whisgars Tasting Room ภูเก็ตแห่งเดียวในจังหวัดภูเก็ตเป็นสถานบันเทิงที่มีความเชี่ยวชาญเฉพาะด้านให้บริการลูกค้าที่มีถังเดียวระดับสูงวิสกี้มอลต์วิสกี้เครื่องดื่มแอลกอฮอล์ระดับพรีเมียมและคิวบาและซิการ์มือที่ไม่ใช่คิวบา,7.964221,98.38654,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/ad/2b/sit-relax-enjoy.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/ad/c0/must-be-another-afternoon.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/ad/86/all-our-cigars-are-kept.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/ad/84/is-there-a-better-view.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/ad/7f/the-boys-from-bangkok.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/ad/7e/the-boys-enjoying-the.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/ad/77/our-lounge-manager-really.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/ad/6a/the-world-firsts-at-the.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/ad/62/guest-speakers-on-specialist.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/ad/4a/so-which-glass-does-this.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/ad/38/world-first-reidel-glass.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2d/ad/32/an-enjoyable-night.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/9c/af/bd/seating-outside-for-those.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/33/d2/68/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/33/d2/67/photo0jpg.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1215781-d15233410-Reviews-Whisgars_Tasting_Room_Phuket-Phuket_Town_Phuket.html,"{'จันทร์': 'ปิด', 'อังคาร': '14:00-23:00', 'พุธ': '14:00-23:00', 'พฤหัสบดี': '14:00-23:00', 'ศุกร์': '14:00-23:00', 'เสาร์': '14:00-23:00', 'อาทิตย์': '14:00-23:00'}",X97P+MJM ตำบล เกาะแก้ว อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athena Bar,['บาร์/คลับ'],,7.825429,98.29762,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/9a/fd/25/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/9a/fd/25/caption.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1210687-d25411627-Reviews-Athena_Bar-Kata_Beach_Karon_Phuket.html,{},R7GX+52H ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salima Massage & Beauty,['ฟิตเนส/สโมสรสุขภาพและห้องออกกำลังกาย'],,7.890277,98.29623,[''],,https://th.tripadvisor.com/Attraction_Review-g297930-d27470758-Reviews-Salima_Massage_Beauty-Patong_Kathu_Phuket.html,"{'จันทร์': '11:30-23:00', 'อังคาร': '11:30-23:00', 'พุธ': '11:30-23:00', 'พฤหัสบดี': '11:30-23:00', 'ศุกร์': '11:30-23:00', 'เสาร์': '11:30-23:00', 'อาทิตย์': '11:30-23:00'}",V7RW+4F9 ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beyond Muay Thai,['ฟิตเนส/สโมสรสุขภาพและห้องออกกำลังกาย'],,7.902939,98.29881,[''],,https://th.tripadvisor.com/Attraction_Review-g297930-d25557379-Reviews-Beyond_Muay_Thai-Patong_Kathu_Phuket.html,{},W73X+5GF ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True Blue Bar,['บาร์/คลับ'],,7.88687,98.29549,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ae/0e/bc/true-blue-bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/2b/49/fb-img-1514775632366.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/2b/48/fb-img-1514775532830.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/2b/47/fb-img-1514172532107.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297930-d7076599-Reviews-True_Blue_Bar-Patong_Kathu_Phuket.html,{},V7PW+P5X ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
